sessions_id,user_id,transactions_id,payment_method_id,total_amount,transactions_timestamps,status
110335,7172,21017,1,96000,2022-01-12 04:39:22.000000 UTC,completed
125779,3135,24602,1,96000,2022-02-15 22:03:23.000000 UTC,completed
130486,5752,25640,1,96000,2022-02-26 06:10:43.000000 UTC,canceled
139683,6787,27740,1,96000,2022-03-18 09:51:22.000000 UTC,completed
148634,9000,29646,1,96000,2022-04-18 20:21:06.000000 UTC,canceled
179492,10142,33948,1,96000,2022-09-05 16:56:57.000000 UTC,completed
202145,8956,36436,1,96000,2022-11-20 17:04:51.000000 UTC,completed
207383,7721,37008,1,96000,2022-12-09 00:19:07.000000 UTC,completed
33448,3769,6624,1,32000,2020-12-27 18:15:16.000000 UTC,completed
36420,540,7361,1,32000,2021-01-12 20:25:58.000000 UTC,canceled
141387,6599,28113,1,32000,2022-03-21 01:32:43.000000 UTC,completed
37807,2627,7719,1,320000,2021-01-19 20:02:17.000000 UTC,completed
50847,5140,11134,1,320000,2021-03-16 07:29:24.000000 UTC,canceled
147179,2007,29342,1,320000,2022-04-09 09:42:02.000000 UTC,completed
39321,3521,8100,1,256000,2021-01-27 12:16:42.000000 UTC,completed
53555,1026,11848,1,256000,2021-03-27 18:06:51.000000 UTC,completed
61033,6104,13625,1,256000,2021-06-06 01:25:08.000000 UTC,completed
87651,1952,17627,1,256000,2021-10-18 09:21:03.000000 UTC,completed
96160,7480,18833,1,256000,2021-11-23 13:39:28.000000 UTC,completed
97713,7595,19046,1,256000,2021-11-29 05:05:46.000000 UTC,completed
106428,4917,20155,1,256000,2022-01-02 14:43:36.000000 UTC,completed
109173,6617,20755,1,256000,2022-01-09 10:03:42.000000 UTC,completed
151369,6652,30186,1,256000,2022-05-08 02:34:44.000000 UTC,canceled
165570,9787,32370,1,256000,2022-07-23 01:25:49.000000 UTC,canceled
193250,6975,35522,1,256000,2022-10-22 09:37:28.000000 UTC,completed
213135,757,37642,1,256000,2022-12-27 19:43:38.000000 UTC,completed
2395,143,436,1,192000,2020-03-08 09:25:46.000000 UTC,completed
7348,315,1501,1,192000,2020-05-12 18:43:01.000000 UTC,completed
11786,1238,2554,1,192000,2020-06-24 10:15:32.000000 UTC,completed
17977,2428,3708,1,192000,2020-08-27 09:19:51.000000 UTC,completed
38827,2296,7982,1,192000,2021-01-24 19:37:48.000000 UTC,completed
40056,2622,8309,1,192000,2021-01-31 09:49:18.000000 UTC,completed
44679,3857,9527,1,192000,2021-02-19 20:36:32.000000 UTC,canceled
47862,2821,10359,1,192000,2021-03-04 19:51:28.000000 UTC,completed
48772,3396,10600,1,192000,2021-03-07 15:13:55.000000 UTC,completed
51917,3567,11419,1,192000,2021-03-21 05:02:40.000000 UTC,canceled
72919,2185,15578,1,192000,2021-08-14 13:12:33.000000 UTC,completed
96066,4323,18825,1,192000,2021-11-22 21:35:18.000000 UTC,completed
100946,6409,19406,1,192000,2021-12-12 13:31:31.000000 UTC,canceled
119539,5172,23202,1,192000,2022-02-03 06:09:08.000000 UTC,completed
121107,5206,23560,1,192000,2022-02-06 11:07:52.000000 UTC,completed
149598,5463,29840,1,192000,2022-04-25 07:25:58.000000 UTC,canceled
157611,4729,31361,1,192000,2022-06-19 20:35:12.000000 UTC,completed
176909,4086,33686,1,192000,2022-08-28 13:42:18.000000 UTC,completed
201402,5777,36373,1,192000,2022-11-19 11:46:23.000000 UTC,completed
210124,6419,37299,1,192000,2022-12-18 08:21:19.000000 UTC,completed
30145,3846,6020,1,128000,2020-12-05 12:24:32.000000 UTC,canceled
37540,336,7649,1,128000,2021-01-18 07:13:55.000000 UTC,completed
39789,889,8238,1,128000,2021-01-30 04:32:30.000000 UTC,completed
41577,4306,8737,1,128000,2021-02-06 23:12:15.000000 UTC,completed
63604,6152,14236,1,128000,2021-06-28 15:30:40.000000 UTC,completed
106039,4370,20072,1,128000,2022-01-01 22:38:48.000000 UTC,canceled
115076,4230,22129,1,128000,2022-01-23 12:52:06.000000 UTC,completed
121361,106,23619,1,128000,2022-02-06 16:36:09.000000 UTC,completed
149454,9481,29811,1,128000,2022-04-24 14:12:00.000000 UTC,canceled
190152,6939,35160,1,128000,2022-10-10 23:17:10.000000 UTC,completed
193148,3016,35503,1,128000,2022-10-21 21:59:05.000000 UTC,completed
21227,940,4331,1,64000,2020-09-26 14:30:58.000000 UTC,completed
98134,6697,19095,1,64000,2021-12-01 19:08:48.000000 UTC,completed
113594,4977,21778,1,64000,2022-01-20 04:53:17.000000 UTC,completed
119899,4724,23289,1,64000,2022-02-04 05:45:04.000000 UTC,canceled
182192,9925,34254,1,64000,2022-09-14 12:56:20.000000 UTC,canceled
145334,4420,28976,1,74500,2022-03-29 20:53:30.000000 UTC,canceled
1506,437,268,1,10500,2020-02-19 04:18:10.000000 UTC,completed
31680,1952,6312,1,234500,2020-12-15 06:38:44.000000 UTC,completed
52759,4766,11644,1,341000,2021-03-24 07:00:42.000000 UTC,completed
53865,2170,11942,1,277000,2021-03-28 14:52:09.000000 UTC,completed
106584,3669,20190,1,277000,2022-01-02 19:29:56.000000 UTC,completed
17809,1708,3675,1,213000,2020-08-25 07:25:06.000000 UTC,completed
44204,3565,9406,1,213000,2021-02-17 13:08:41.000000 UTC,canceled
52321,2573,11541,1,213000,2021-03-21 22:32:50.000000 UTC,completed
53532,2454,11841,1,213000,2021-03-27 16:42:25.000000 UTC,canceled
106454,7263,20159,1,213000,2022-01-02 15:13:08.000000 UTC,completed
117849,7922,22768,1,213000,2022-01-30 06:48:53.000000 UTC,completed
118356,6821,22912,1,213000,2022-01-31 00:03:21.000000 UTC,canceled
206442,9018,36906,1,213000,2022-12-05 00:19:54.000000 UTC,canceled
5642,1129,1082,1,149000,2020-04-23 23:47:31.000000 UTC,canceled
11201,373,2416,1,149000,2020-06-19 17:52:33.000000 UTC,canceled
17664,1849,3639,1,149000,2020-08-23 18:26:38.000000 UTC,canceled
32066,1461,6386,1,149000,2020-12-18 21:18:24.000000 UTC,completed
35607,2427,7156,1,149000,2021-01-09 06:43:37.000000 UTC,completed
36508,3240,7383,1,149000,2021-01-13 07:26:54.000000 UTC,completed
44965,3402,9605,1,149000,2021-02-20 19:54:26.000000 UTC,canceled
46044,1098,9880,1,149000,2021-02-25 06:05:34.000000 UTC,completed
47502,4694,10259,1,149000,2021-03-02 22:20:13.000000 UTC,completed
48917,4825,10646,1,149000,2021-03-08 01:10:15.000000 UTC,canceled
52687,3229,11628,1,149000,2021-03-23 20:13:15.000000 UTC,completed
107250,5109,20335,1,149000,2022-01-04 17:40:17.000000 UTC,canceled
132938,7419,26213,1,149000,2022-03-03 15:49:35.000000 UTC,completed
143000,6697,28453,1,149000,2022-03-25 17:24:35.000000 UTC,completed
157823,10067,31406,1,149000,2022-06-21 07:27:41.000000 UTC,canceled
194616,10342,35658,1,149000,2022-10-26 21:34:57.000000 UTC,canceled
198048,5615,36025,1,149000,2022-11-06 23:39:31.000000 UTC,canceled
198692,7635,36097,1,149000,2022-11-10 05:12:13.000000 UTC,completed
199686,9819,36198,1,149000,2022-11-13 07:57:44.000000 UTC,canceled
210833,9568,37381,1,149000,2022-12-19 20:01:40.000000 UTC,canceled
4973,1002,936,1,85000,2020-04-14 02:34:17.000000 UTC,completed
26142,3483,5258,1,85000,2020-11-05 07:50:28.000000 UTC,completed
32102,206,6393,1,85000,2020-12-19 05:07:14.000000 UTC,completed
43526,4753,9241,1,85000,2021-02-14 12:28:01.000000 UTC,completed
54463,3045,12083,1,85000,2021-03-31 18:15:06.000000 UTC,completed
71667,6836,15398,1,85000,2021-08-08 06:57:19.000000 UTC,canceled
89115,1085,17836,1,85000,2021-10-24 22:44:42.000000 UTC,completed
125233,8566,24490,1,85000,2022-02-14 14:02:36.000000 UTC,completed
135142,2306,26720,1,85000,2022-03-07 17:39:26.000000 UTC,completed
138068,5794,27370,1,85000,2022-03-13 19:46:01.000000 UTC,completed
53444,4135,11822,1,309000,2021-03-27 12:36:56.000000 UTC,completed
60945,2678,13605,1,309000,2021-06-05 10:46:01.000000 UTC,completed
108661,5367,20657,1,309000,2022-01-08 09:00:24.000000 UTC,completed
16310,2049,3387,1,245000,2020-08-09 19:27:11.000000 UTC,completed
31361,3977,6258,1,245000,2020-12-13 12:09:38.000000 UTC,completed
36626,375,7409,1,245000,2021-01-13 20:30:59.000000 UTC,completed
43692,2671,9292,1,245000,2021-02-14 20:51:02.000000 UTC,completed
70328,2345,15212,1,245000,2021-08-01 13:26:26.000000 UTC,completed
89654,5233,17913,1,245000,2021-10-28 03:13:10.000000 UTC,completed
103172,347,19673,1,245000,2021-12-21 03:43:09.000000 UTC,completed
119335,577,23163,1,245000,2022-02-02 18:44:24.000000 UTC,completed
122051,3701,23763,1,245000,2022-02-08 05:56:52.000000 UTC,completed
137638,2242,27268,1,245000,2022-03-13 10:38:52.000000 UTC,completed
190173,110,35163,1,245000,2022-10-11 04:19:08.000000 UTC,completed
193264,4930,35524,1,245000,2022-10-22 10:15:38.000000 UTC,completed
35715,3996,7182,1,181000,2021-01-09 15:47:36.000000 UTC,completed
43071,172,9120,1,181000,2021-02-13 07:15:59.000000 UTC,completed
69742,359,15125,1,181000,2021-07-29 13:01:34.000000 UTC,completed
122835,3887,23950,1,181000,2022-02-10 05:13:57.000000 UTC,canceled
138156,9159,27390,1,181000,2022-03-13 23:11:46.000000 UTC,canceled
143061,8100,28467,1,181000,2022-03-25 19:26:37.000000 UTC,canceled
14608,2164,3074,1,117000,2020-07-22 07:02:27.000000 UTC,completed
48898,1955,10642,1,117000,2021-03-07 22:20:37.000000 UTC,completed
49395,377,10774,1,117000,2021-03-10 20:58:45.000000 UTC,canceled
79153,6629,16457,1,117000,2021-09-11 18:36:28.000000 UTC,completed
102241,5149,19579,1,117000,2021-12-18 13:23:46.000000 UTC,canceled
105864,8260,20038,1,117000,2022-01-01 14:00:45.000000 UTC,completed
111107,5471,21194,1,117000,2022-01-14 06:04:31.000000 UTC,completed
115739,2873,22271,1,117000,2022-01-25 05:12:27.000000 UTC,canceled
123842,2799,24159,1,117000,2022-02-12 11:44:56.000000 UTC,completed
205849,1907,36841,1,117000,2022-12-04 03:02:40.000000 UTC,completed
9308,903,1954,1,53000,2020-06-02 21:16:56.000000 UTC,canceled
58644,5866,13073,1,53000,2021-05-12 08:15:52.000000 UTC,completed
79982,7234,16568,1,53000,2021-09-14 20:19:22.000000 UTC,canceled
98516,5601,19144,1,53000,2021-12-04 04:31:53.000000 UTC,canceled
129391,6722,25404,1,53000,2022-02-23 09:14:10.000000 UTC,canceled
144324,3949,28754,1,53000,2022-03-27 15:41:07.000000 UTC,canceled
154434,9704,30779,1,53000,2022-05-29 12:03:51.000000 UTC,completed
171776,1100,33106,1,53000,2022-08-13 06:00:22.000000 UTC,completed
189664,7466,35101,1,53000,2022-10-09 10:09:02.000000 UTC,canceled
194776,6384,35672,1,53000,2022-10-27 17:21:43.000000 UTC,completed
191086,4866,35271,1,351500,2022-10-14 19:49:23.000000 UTC,completed
119144,6253,23118,1,287500,2022-02-02 06:43:08.000000 UTC,canceled
52738,2933,11639,1,31500,2021-03-24 05:38:57.000000 UTC,completed
107588,3506,20419,1,31500,2022-01-05 12:32:58.000000 UTC,canceled
108564,4744,20628,1,31500,2022-01-07 23:37:41.000000 UTC,completed
20161,289,4138,1,127500,2020-09-16 19:07:38.000000 UTC,canceled
135728,3681,26838,1,63500,2022-03-09 09:03:05.000000 UTC,canceled
146199,8803,29146,1,63500,2022-04-02 12:26:56.000000 UTC,canceled
192193,2911,35402,1,63500,2022-10-17 23:56:02.000000 UTC,canceled
21481,190,4378,1,266000,2020-09-27 23:53:07.000000 UTC,completed
27647,3367,5555,1,266000,2020-11-15 22:04:42.000000 UTC,completed
42134,3390,8881,1,266000,2021-02-08 17:42:46.000000 UTC,canceled
49833,3350,10875,1,266000,2021-03-13 01:10:14.000000 UTC,completed
106706,5016,20228,1,266000,2022-01-03 05:37:15.000000 UTC,completed
199780,4739,36209,1,266000,2022-11-13 10:57:44.000000 UTC,canceled
209599,3701,37244,1,266000,2022-12-16 20:13:19.000000 UTC,completed
18908,2037,3878,1,202000,2020-09-05 20:47:33.000000 UTC,completed
19787,2842,4059,1,202000,2020-09-13 09:53:32.000000 UTC,completed
45076,3093,9635,1,202000,2021-02-21 06:30:30.000000 UTC,completed
82597,3467,16929,1,202000,2021-09-26 08:20:52.000000 UTC,completed
103940,3733,19765,1,202000,2021-12-25 08:40:26.000000 UTC,completed
119625,5094,23221,1,202000,2022-02-03 12:43:50.000000 UTC,completed
121447,7818,23642,1,202000,2022-02-06 19:00:21.000000 UTC,canceled
137187,3824,27158,1,202000,2022-03-12 16:44:01.000000 UTC,completed
138161,8473,27389,1,202000,2022-03-13 23:02:45.000000 UTC,completed
144388,5204,28776,1,202000,2022-03-27 17:10:03.000000 UTC,completed
154964,6039,30872,1,202000,2022-06-03 07:18:25.000000 UTC,canceled
160794,9264,31844,1,202000,2022-07-06 10:30:04.000000 UTC,canceled
175179,3563,33484,1,202000,2022-08-22 19:02:05.000000 UTC,completed
213915,6975,37721,1,202000,2022-12-31 10:01:50.000000 UTC,completed
1481,59,261,1,138000,2020-02-18 07:46:19.000000 UTC,canceled
16743,2205,3464,1,138000,2020-08-14 20:13:22.000000 UTC,completed
20565,2497,4216,1,138000,2020-09-20 08:57:40.000000 UTC,canceled
37320,1290,7592,1,138000,2021-01-17 11:18:29.000000 UTC,completed
76484,3378,16072,1,138000,2021-08-30 01:30:07.000000 UTC,completed
84762,5956,17218,1,138000,2021-10-05 11:09:41.000000 UTC,canceled
91374,6086,18159,1,138000,2021-11-05 06:42:53.000000 UTC,completed
117821,8327,22764,1,138000,2022-01-30 06:09:50.000000 UTC,canceled
117963,2488,22800,1,138000,2022-01-30 10:32:47.000000 UTC,completed
122071,7171,23773,1,138000,2022-02-08 06:21:03.000000 UTC,completed
123314,4945,24043,1,138000,2022-02-11 08:18:38.000000 UTC,canceled
126295,7416,24712,1,138000,2022-02-17 05:39:15.000000 UTC,completed
133395,2702,26315,1,138000,2022-03-04 19:13:42.000000 UTC,completed
138009,3805,27356,1,138000,2022-03-13 17:56:26.000000 UTC,completed
140151,1099,27850,1,138000,2022-03-19 10:02:28.000000 UTC,canceled
142202,1869,28272,1,138000,2022-03-23 08:28:09.000000 UTC,completed
161393,2057,31901,1,138000,2022-07-09 06:30:14.000000 UTC,canceled
162406,7176,31994,1,138000,2022-07-11 18:18:32.000000 UTC,completed
210793,10609,37376,1,138000,2022-12-19 17:13:59.000000 UTC,canceled
14917,2121,3134,1,74000,2020-07-26 06:59:26.000000 UTC,completed
23937,3099,4844,1,74000,2020-10-18 10:59:05.000000 UTC,completed
29770,1681,5945,1,74000,2020-12-02 07:02:00.000000 UTC,completed
31754,3314,6328,1,74000,2020-12-15 22:11:21.000000 UTC,completed
47029,660,10142,1,74000,2021-02-28 16:50:03.000000 UTC,canceled
50860,4837,11137,1,74000,2021-03-16 10:05:09.000000 UTC,completed
52612,577,11607,1,74000,2021-03-23 11:20:15.000000 UTC,completed
70589,6724,15242,1,74000,2021-08-02 18:57:49.000000 UTC,completed
87533,3406,17608,1,74000,2021-10-17 19:02:33.000000 UTC,completed
100278,8141,19337,1,74000,2021-12-10 19:04:50.000000 UTC,completed
101396,861,19463,1,74000,2021-12-14 05:29:04.000000 UTC,completed
120950,7104,23520,1,74000,2022-02-06 07:03:33.000000 UTC,completed
134729,9054,26617,1,74000,2022-03-06 19:06:10.000000 UTC,completed
138423,4552,27454,1,74000,2022-03-14 18:37:14.000000 UTC,completed
152508,6148,30404,1,74000,2022-05-15 17:04:40.000000 UTC,completed
172068,1491,33135,1,74000,2022-08-13 17:56:58.000000 UTC,canceled
175824,1863,33566,1,74000,2022-08-25 20:59:03.000000 UTC,completed
175978,8464,33584,1,74000,2022-08-26 13:08:40.000000 UTC,completed
180243,5887,34044,1,74000,2022-09-08 23:27:06.000000 UTC,completed
207191,4215,36990,1,74000,2022-12-07 23:37:50.000000 UTC,canceled
210520,10927,37338,1,74000,2022-12-18 18:11:26.000000 UTC,completed
213812,10740,37711,1,74000,2022-12-31 01:11:05.000000 UTC,completed
45783,1623,9803,1,298000,2021-02-23 19:41:23.000000 UTC,completed
54712,2329,12144,1,298000,2021-04-03 09:41:20.000000 UTC,completed
128178,8683,25144,1,298000,2022-02-20 15:59:40.000000 UTC,canceled
8757,1379,1835,1,234000,2020-05-28 10:19:04.000000 UTC,completed
92441,2712,18310,1,234000,2021-11-08 03:31:30.000000 UTC,completed
117650,7593,22720,1,234000,2022-01-29 18:31:56.000000 UTC,completed
149428,5802,29806,1,234000,2022-04-24 12:51:01.000000 UTC,canceled
153455,6145,30582,1,234000,2022-05-22 13:52:21.000000 UTC,completed
191003,7857,35263,1,234000,2022-10-14 11:57:17.000000 UTC,canceled
8641,1255,1809,1,170000,2020-05-26 20:10:18.000000 UTC,completed
13898,1213,2953,1,170000,2020-07-15 01:02:08.000000 UTC,completed
25856,2227,5209,1,170000,2020-11-02 19:02:58.000000 UTC,canceled
37918,1255,7754,1,170000,2021-01-20 11:34:49.000000 UTC,completed
42865,3716,9074,1,170000,2021-02-12 07:34:26.000000 UTC,completed
48892,5036,10640,1,170000,2021-03-07 21:49:54.000000 UTC,canceled
53629,426,11871,1,170000,2021-03-28 04:12:00.000000 UTC,canceled
55532,146,12339,1,170000,2021-04-11 09:40:58.000000 UTC,completed
82715,3448,16952,1,170000,2021-09-26 12:11:07.000000 UTC,completed
88788,2617,17792,1,170000,2021-10-24 06:30:15.000000 UTC,canceled
111119,4049,21196,1,170000,2022-01-14 06:18:39.000000 UTC,canceled
112268,3505,21484,1,170000,2022-01-16 14:10:57.000000 UTC,completed
114810,8190,22056,1,170000,2022-01-23 03:28:12.000000 UTC,canceled
118758,5455,23019,1,170000,2022-02-01 06:41:33.000000 UTC,canceled
133345,2285,26305,1,170000,2022-03-04 18:09:26.000000 UTC,canceled
134854,1073,26655,1,170000,2022-03-06 23:27:13.000000 UTC,completed
142373,8576,28317,1,170000,2022-03-23 22:04:07.000000 UTC,completed
148363,6854,29580,1,170000,2022-04-17 09:28:03.000000 UTC,canceled
193394,5676,35537,1,170000,2022-10-22 16:15:07.000000 UTC,completed
20681,1366,4228,1,106000,2020-09-20 19:29:24.000000 UTC,completed
22101,1993,4499,1,106000,2020-10-04 06:33:00.000000 UTC,completed
32293,2338,6420,1,106000,2020-12-20 04:11:56.000000 UTC,completed
59391,3829,13266,1,106000,2021-05-19 19:16:10.000000 UTC,canceled
83985,4414,17128,1,106000,2021-10-02 14:10:57.000000 UTC,completed
94422,7795,18590,1,106000,2021-11-16 20:20:44.000000 UTC,completed
95353,5226,18721,1,106000,2021-11-20 22:46:20.000000 UTC,completed
96440,7683,18873,1,106000,2021-11-24 23:23:21.000000 UTC,completed
144328,4848,28756,1,106000,2022-03-27 15:45:19.000000 UTC,completed
167903,5162,32673,1,106000,2022-07-30 20:13:08.000000 UTC,completed
20401,2464,4182,1,42000,2020-09-19 10:11:41.000000 UTC,completed
44163,4050,9401,1,42000,2021-02-17 06:48:41.000000 UTC,completed
48269,4687,10461,1,42000,2021-03-06 11:47:40.000000 UTC,completed
53440,1528,11819,1,42000,2021-03-27 12:27:23.000000 UTC,canceled
63720,874,14260,1,42000,2021-06-30 07:08:51.000000 UTC,completed
80176,121,16603,1,42000,2021-09-16 05:10:17.000000 UTC,canceled
92282,5283,18289,1,42000,2021-11-07 16:01:13.000000 UTC,completed
98564,6597,19150,1,42000,2021-12-04 08:33:43.000000 UTC,completed
140390,6539,27901,1,42000,2022-03-19 17:34:58.000000 UTC,completed
142068,9080,28249,1,42000,2022-03-22 21:27:03.000000 UTC,completed
157311,4995,31314,1,42000,2022-06-18 17:33:01.000000 UTC,completed
184839,10670,34555,1,42000,2022-09-23 20:47:48.000000 UTC,canceled
190283,6672,35173,1,42000,2022-10-11 14:08:58.000000 UTC,canceled
203733,2519,36612,1,42000,2022-11-26 19:23:04.000000 UTC,canceled
204119,9143,36645,1,42000,2022-11-27 12:41:49.000000 UTC,completed
204963,2332,36746,1,42000,2022-11-30 13:50:19.000000 UTC,canceled
45342,4124,9704,1,148500,2021-02-21 17:32:20.000000 UTC,completed
50098,5106,10951,1,148500,2021-03-13 20:12:42.000000 UTC,completed
58254,1358,12976,1,84500,2021-05-08 17:18:18.000000 UTC,completed
169449,1716,32843,1,84500,2022-08-05 19:06:55.000000 UTC,completed
200273,8696,36265,1,84500,2022-11-14 14:44:14.000000 UTC,completed
190970,7141,35258,1,116500,2022-10-14 07:03:59.000000 UTC,canceled
7223,1448,1469,1,52500,2020-05-11 04:11:07.000000 UTC,completed
9010,1214,1887,1,52500,2020-05-31 08:13:32.000000 UTC,completed
107115,8390,20309,1,52500,2022-01-04 08:03:31.000000 UTC,completed
86609,4370,17475,1,351000,2021-10-14 06:07:39.000000 UTC,canceled
115791,2166,22282,1,351000,2022-01-25 06:43:53.000000 UTC,completed
172154,6414,33146,1,287000,2022-08-14 01:01:23.000000 UTC,canceled
879,271,158,1,223000,2020-02-03 10:21:47.000000 UTC,completed
1628,18,286,1,223000,2020-02-23 04:47:54.000000 UTC,completed
34676,1321,6923,1,223000,2021-01-04 10:49:46.000000 UTC,completed
36097,4138,7283,1,223000,2021-01-11 05:42:54.000000 UTC,completed
79371,5584,16487,1,223000,2021-09-12 11:19:00.000000 UTC,canceled
83222,3162,17021,1,223000,2021-09-28 06:22:36.000000 UTC,completed
104658,6778,19854,1,223000,2021-12-26 17:14:22.000000 UTC,canceled
124544,8491,24340,1,223000,2022-02-13 12:26:23.000000 UTC,canceled
127993,4749,25109,1,223000,2022-02-20 12:19:53.000000 UTC,completed
129272,2167,25373,1,223000,2022-02-23 02:24:11.000000 UTC,canceled
154120,9701,30723,1,223000,2022-05-27 21:24:57.000000 UTC,canceled
180298,4643,34047,1,223000,2022-09-09 06:40:00.000000 UTC,canceled
210722,7674,37362,1,223000,2022-12-19 09:00:02.000000 UTC,completed
8115,1532,1692,1,159000,2020-05-20 20:56:31.000000 UTC,completed
13376,1233,2868,1,159000,2020-07-10 10:55:21.000000 UTC,completed
29496,1099,5890,1,159000,2020-11-29 16:32:14.000000 UTC,completed
34337,3237,6831,1,159000,2021-01-03 08:10:42.000000 UTC,completed
54119,2712,11998,1,159000,2021-03-29 18:07:50.000000 UTC,canceled
61363,3279,13720,1,159000,2021-06-08 16:47:59.000000 UTC,completed
71974,4019,15443,1,159000,2021-08-08 20:37:29.000000 UTC,completed
98383,2235,19133,1,159000,2021-12-03 09:09:27.000000 UTC,completed
124927,5789,24415,1,159000,2022-02-13 20:16:51.000000 UTC,completed
163933,1626,32172,1,159000,2022-07-17 08:15:34.000000 UTC,completed
172841,496,33221,1,159000,2022-08-15 01:31:40.000000 UTC,canceled
207836,5947,37053,1,159000,2022-12-10 16:50:50.000000 UTC,canceled
209857,7285,37269,1,159000,2022-12-17 14:30:07.000000 UTC,canceled
22631,824,4586,1,95000,2020-10-08 03:26:45.000000 UTC,canceled
47039,225,10143,1,95000,2021-02-28 17:14:54.000000 UTC,completed
48976,4302,10661,1,95000,2021-03-08 10:48:56.000000 UTC,completed
51222,275,11232,1,95000,2021-03-18 12:15:16.000000 UTC,canceled
53814,668,11931,1,95000,2021-03-28 13:27:46.000000 UTC,completed
54560,2938,12103,1,95000,2021-04-01 09:41:01.000000 UTC,completed
62525,5275,13981,1,95000,2021-06-19 13:25:36.000000 UTC,completed
86930,5105,17522,1,95000,2021-10-16 01:03:33.000000 UTC,completed
88073,7241,17691,1,95000,2021-10-20 19:56:58.000000 UTC,completed
92875,4504,18371,1,95000,2021-11-10 21:26:49.000000 UTC,canceled
102973,1781,19650,1,95000,2021-12-20 01:33:02.000000 UTC,canceled
124024,7911,24206,1,95000,2022-02-12 16:50:41.000000 UTC,completed
136038,4928,26907,1,95000,2022-03-10 08:31:29.000000 UTC,canceled
157053,1446,31255,1,95000,2022-06-17 06:07:50.000000 UTC,completed
153350,9558,30565,1,319000,2022-05-22 02:43:47.000000 UTC,canceled
23985,3237,4853,1,255000,2020-10-18 13:04:19.000000 UTC,completed
29279,2598,5849,1,255000,2020-11-28 14:35:57.000000 UTC,completed
45822,2842,9817,1,255000,2021-02-23 23:56:04.000000 UTC,completed
55619,5031,12365,1,255000,2021-04-11 20:08:26.000000 UTC,completed
112110,467,21448,1,255000,2022-01-16 10:54:37.000000 UTC,completed
154420,9612,30776,1,255000,2022-05-29 11:23:33.000000 UTC,canceled
193393,9560,35536,1,255000,2022-10-22 16:08:35.000000 UTC,canceled
12613,898,2724,1,191000,2020-06-30 21:45:53.000000 UTC,completed
26244,2712,5280,1,191000,2020-11-06 05:16:53.000000 UTC,completed
